epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
112,3184.19,0.82971,0.9996,1.08808,0.1657,0.25667,0.15073,0.12084,1.2928,5.10694,1.56533,0.000324453,0.000324453,0.000324453
113,3226.32,0.88792,1.03503,1.09485,0.16402,0.29826,0.13451,0.108,1.33241,4.30941,1.61095,0.000319872,0.000319872,0.000319872
114,3267.8,0.91758,0.99677,1.09194,0.17754,0.16834,0.13553,0.11329,1.28356,4.52355,1.55438,0.00031529,0.00031529,0.00031529
115,3308.32,0.89737,0.96205,1.07331,0.21441,0.18442,0.14636,0.11366,1.31205,5.82242,1.56474,0.000310709,0.000310709,0.000310709
116,3348.77,0.90034,0.99882,1.10176,0.15949,0.26957,0.15074,0.10938,1.34497,4.96668,1.63319,0.000306128,0.000306128,0.000306128
117,3394.22,0.90374,0.93982,1.08406,0.20912,0.24005,0.15338,0.11224,1.34774,5.13658,1.63375,0.000301546,0.000301546,0.000301546
118,3434.43,0.87474,0.98194,1.10837,0.20364,0.17686,0.15349,0.11927,1.32411,4.50767,1.59685,0.000296964,0.000296964,0.000296964
119,3473.38,0.87478,0.93264,1.06359,0.20656,0.16867,0.15342,0.12087,1.31985,5.73203,1.57977,0.000292383,0.000292383,0.000292383
120,3513.66,0.87618,0.95219,1.08046,0.1911,0.22881,0.17085,0.1346,1.32893,4.53033,1.61736,0.000287802,0.000287802,0.000287802
121,3552.27,0.86006,0.89431,1.05108,0.18774,0.16824,0.14137,0.10848,1.31854,4.44115,1.61992,0.00028322,0.00028322,0.00028322
122,3591.26,0.88943,0.90181,1.06671,0.18471,0.17531,0.1346,0.10363,1.3203,4.72933,1.64617,0.000278638,0.000278638,0.000278638
123,3629.96,0.87108,0.92931,1.09256,0.18695,0.19392,0.13464,0.10435,1.37428,5.05998,1.67898,0.000274057,0.000274057,0.000274057
124,3667.63,0.85579,0.90411,1.07043,0.2096,0.2141,0.15029,0.10999,1.37866,4.56571,1.63363,0.000269475,0.000269475,0.000269475
125,3704.4,0.86013,0.94968,1.06304,0.18072,0.19888,0.12515,0.1024,1.33726,4.67313,1.59974,0.000264894,0.000264894,0.000264894
126,3741.01,0.84753,0.8706,1.06392,0.1819,0.2061,0.15198,0.12182,1.34715,5.87334,1.57411,0.000260313,0.000260313,0.000260313
127,3778.08,0.83805,0.91504,1.07065,0.19697,0.20257,0.16486,0.13058,1.33104,4.41249,1.60003,0.000255731,0.000255731,0.000255731
128,3816.24,0.84731,0.88773,1.06275,0.17982,0.23867,0.14561,0.11396,1.31741,4.09781,1.59336,0.000251149,0.000251149,0.000251149
129,3853.75,0.88928,0.94204,1.09854,0.17094,0.21304,0.14385,0.11465,1.31734,5.77253,1.60859,0.000246568,0.000246568,0.000246568
130,3889.78,0.78402,0.85252,1.06218,0.16956,0.21233,0.14236,0.11447,1.28642,5.4353,1.55918,0.000241986,0.000241986,0.000241986
131,3929.56,0.85944,0.88895,1.07842,0.1894,0.19602,0.13889,0.10797,1.38455,5.20925,1.61138,0.000237405,0.000237405,0.000237405
132,3967.9,0.79414,0.88397,1.0637,0.16405,0.24688,0.14648,0.12072,1.29326,4.82745,1.55442,0.000232824,0.000232824,0.000232824
133,4004.92,0.84975,0.88931,1.0742,0.20255,0.17151,0.15233,0.12028,1.28421,4.72304,1.57848,0.000228242,0.000228242,0.000228242
134,4042.25,0.85565,0.88035,1.06432,0.22771,0.15265,0.15184,0.11826,1.33234,4.61505,1.6128,0.00022366,0.00022366,0.00022366
135,4079.36,0.87927,0.91123,1.07428,0.25638,0.22566,0.15727,0.12165,1.36756,5.08452,1.66937,0.000219079,0.000219079,0.000219079
136,4116.82,0.80085,0.85554,1.0351,0.20875,0.22113,0.14656,0.11435,1.34376,4.64317,1.64491,0.000214497,0.000214497,0.000214497
137,4154.07,0.81488,0.86185,1.04881,0.16987,0.2035,0.14214,0.11092,1.32938,4.86289,1.66687,0.000209916,0.000209916,0.000209916
138,4197.52,0.82626,0.8486,1.05299,0.18875,0.21211,0.14993,0.1173,1.32707,5.27842,1.66127,0.000205335,0.000205335,0.000205335
139,4236.85,0.84771,0.81977,1.03581,0.20966,0.2197,0.15163,0.11757,1.31557,5.07339,1.59154,0.000200753,0.000200753,0.000200753
140,4275.05,0.83299,0.83549,1.05172,0.2345,0.21555,0.16101,0.12493,1.3961,4.99694,1.67786,0.000196171,0.000196171,0.000196171
141,4317.51,0.84098,0.83324,1.05758,0.21819,0.24747,0.1616,0.12604,1.37547,5.37595,1.69308,0.00019159,0.00019159,0.00019159
142,4359.43,0.87763,0.82021,1.05586,0.24152,0.22028,0.15786,0.12562,1.38352,5.27674,1.68521,0.000187008,0.000187008,0.000187008
143,4395.92,0.79524,0.82699,1.03681,0.21074,0.20327,0.14692,0.1181,1.3522,4.61152,1.6676,0.000182427,0.000182427,0.000182427
144,4433.73,0.81776,0.84256,1.05371,0.19302,0.18256,0.15521,0.11744,1.3837,4.75657,1.68673,0.000177846,0.000177846,0.000177846
145,4472.47,0.81273,0.82489,1.04128,0.20153,0.21682,0.15505,0.1206,1.34406,5.0858,1.6714,0.000173264,0.000173264,0.000173264
146,4510.06,0.81695,0.83813,1.05123,0.26461,0.22658,0.16385,0.1274,1.33577,4.95867,1.63829,0.000168682,0.000168682,0.000168682
147,4547.68,0.78428,0.81636,1.04163,0.26102,0.23718,0.17696,0.13897,1.3432,4.94788,1.65903,0.000164101,0.000164101,0.000164101
148,4585.51,0.80884,0.78765,1.0557,0.31013,0.18636,0.18369,0.13999,1.37912,5.11895,1.72045,0.00015952,0.00015952,0.00015952
149,4623.72,0.82587,0.8307,1.06283,0.25845,0.18708,0.16067,0.1258,1.35137,4.81096,1.70295,0.000154938,0.000154938,0.000154938
150,4660.82,0.80138,0.8522,1.05513,0.23231,0.19299,0.15293,0.11669,1.3603,4.94724,1.69717,0.000150357,0.000150357,0.000150357
151,4700.24,0.80801,0.81529,1.04358,0.21316,0.19077,0.14595,0.11348,1.36366,4.62529,1.6414,0.000145775,0.000145775,0.000145775
152,4739.43,0.79904,0.7967,1.04164,0.18442,0.25366,0.16506,0.12395,1.32054,4.87383,1.59236,0.000141193,0.000141193,0.000141193
153,4785.09,0.75412,0.75619,1.00572,0.21312,0.20978,0.16598,0.13428,1.36604,5.00108,1.63347,0.000136612,0.000136612,0.000136612
154,4823.16,0.82298,0.77491,1.05219,0.1917,0.20936,0.15304,0.12116,1.33099,4.93838,1.6296,0.000132031,0.000132031,0.000132031
155,4863.56,0.77542,0.79334,1.03272,0.21192,0.25115,0.15748,0.12185,1.34773,4.7006,1.64831,0.000127449,0.000127449,0.000127449
156,4905.73,0.802,0.792,1.04052,0.22472,0.21564,0.15004,0.11379,1.41098,4.63577,1.71576,0.000122867,0.000122867,0.000122867
157,4942.71,0.78321,0.75423,1.01507,0.1838,0.24105,0.15055,0.1134,1.3593,5.21634,1.67858,0.000118286,0.000118286,0.000118286
158,4979.61,0.74747,0.75718,1.03338,0.24665,0.22061,0.15457,0.12009,1.36667,5.12231,1.67718,0.000113705,0.000113705,0.000113705
159,5017.27,0.75429,0.74368,1.01201,0.29805,0.20033,0.16073,0.12252,1.37542,4.701,1.66876,0.000109123,0.000109123,0.000109123
160,5054.78,0.74507,0.74531,1.02078,0.24239,0.22848,0.16895,0.12792,1.36352,4.79939,1.65132,0.000104542,0.000104542,0.000104542
161,5093.68,0.76461,0.77023,1.03436,0.21746,0.23659,0.16488,0.12724,1.35832,4.94683,1.6303,9.996e-05,9.996e-05,9.996e-05
162,5131.26,0.76919,0.77431,1.0285,0.19992,0.26156,0.1544,0.11904,1.32593,4.91196,1.61599,9.53785e-05,9.53785e-05,9.53785e-05
163,5167.78,0.74873,0.73466,1.02235,0.28213,0.22954,0.15931,0.12524,1.31708,4.7467,1.60121,9.0797e-05,9.0797e-05,9.0797e-05
164,5204.54,0.74271,0.75591,1.03081,0.25569,0.21271,0.15254,0.11896,1.34364,4.78475,1.62683,8.62155e-05,8.62155e-05,8.62155e-05
165,5243.03,0.75959,0.72494,1.01236,0.25588,0.20613,0.15412,0.11916,1.35576,5.00155,1.65055,8.1634e-05,8.1634e-05,8.1634e-05
166,5280.83,0.7975,0.76312,1.04031,0.2675,0.2084,0.15869,0.12244,1.34934,5.0402,1.64282,7.70525e-05,7.70525e-05,7.70525e-05
167,5318.32,0.76004,0.75644,1.02947,0.25338,0.19375,0.15009,0.11747,1.35771,4.97788,1.65226,7.2471e-05,7.2471e-05,7.2471e-05
168,5356.97,0.76529,0.75205,1.01685,0.25842,0.18448,0.14792,0.11488,1.35419,4.82907,1.64486,6.78895e-05,6.78895e-05,6.78895e-05
169,5384.96,0.74345,0.75364,1.02934,0.25712,0.18703,0.14777,0.11415,1.35736,4.76207,1.64174,6.3308e-05,6.3308e-05,6.3308e-05
170,5412.54,0.75975,0.73152,1.01502,0.24733,0.18458,0.15027,0.11574,1.34655,4.76975,1.63257,5.87265e-05,5.87265e-05,5.87265e-05
171,5436.67,0.74119,0.74328,1.0059,0.21097,0.23291,0.1419,0.10991,1.34556,4.76857,1.60332,5.4145e-05,5.4145e-05,5.4145e-05
172,5461.72,0.72443,0.68797,0.99676,0.20652,0.24047,0.14396,0.11129,1.35419,4.79186,1.62951,4.95635e-05,4.95635e-05,4.95635e-05
